User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level,Calories Burned
4174.0,58.94,98.81,5450.39,7.17,Highly_Active,1.0,245.26755
2294.0,40.0,96.89,13797.34,7.37,Active,3.0,551.8936
2095.0,96.29,94.2,10205.99,8.38,Highly_Active,10.0,459.26955
4772.0,47.27,95.39,3208.78,7.87,Sedentary,2.0,112.30730000000001
4092.0,81.73,95.98,6051.25,5.22,Sedentary,1.0,211.79375000000002
3979.0,93.34,97.22,1775.03,5.47,Sedentary,1.0,62.126050000000006
3169.0,51.41,97.27,7940.02,7.95,Sedentary,8.0,277.90070000000003
1466.0,101.91,98.0,2987.57,7.54,Sedentary,9.0,104.56495000000001
2238.0,73.85,95.4,1748.2,4.83,Active,1.0,69.928
1330.0,95.37,99.15,6155.84,5.81,Highly_Active,10.0,277.01279999999997
2482.0,79.06,99.01,829.93,6.27,Sedentary,5.45,29.04755
3135.0,68.09,99.73,8124.14,6.44,Highly_Active,5.0,365.5863
4444.0,40.0,99.05,1449.22,6.39,Active,2.0,57.9688
4171.0,58.28,97.79,5643.51,7.85,Sedentary,10.0,197.52285000000003
3919.0,75.26,96.05,3488.92,6.72,Sedentary,4.0,122.11220000000002
4735.0,98.06,96.03,5846.92,6.62,Sedentary,9.0,204.64220000000003
2685.0,74.11,99.65,2601.4,6.75,Highly_Active,9.0,117.063
4380.0,68.31,98.0,1058.37,6.46,Active,3.0,42.334799999999994
1769.0,81.27,96.07,10503.01,5.78,Active,5.45,420.1204
3391.0,76.33,98.76,508.84,4.77,Sedentary,5.45,17.8094
2515.0,69.42,99.25,3306.11,8.42,Highly_Active,1.0,148.77495
4485.0,84.59,99.02,4173.37,9.17,Sedentary,9.0,146.06795
3853.0,64.63,99.79,1520.18,6.87,Sedentary,2.0,53.206300000000006
3433.0,75.17,98.1,3400.9,8.65,Sedentary,10.0,119.03150000000001
2215.0,86.55,97.47,3790.05,6.84,Sedentary,1.0,132.65175000000002
1955.0,64.1,98.15,1778.2,4.42,Sedentary,7.0,62.23700000000001
3324.0,69.62,100.0,7137.1,6.95,Sedentary,2.0,249.79850000000005
2184.0,66.63,99.52,219.38,5.99,Sedentary,6.0,7.678300000000001
1459.0,81.78,98.19,1540.73,7.21,Highly_Active,10.0,69.33285
1021.0,67.23,100.0,6913.14,5.74,Active,10.0,276.5256
3300.0,80.11,100.0,2157.69,7.08,Highly_Active,4.0,97.09605
1747.0,40.0,100.0,8043.06,7.79,Active,5.0,321.72240000000005
3904.0,87.53,100.0,4441.36,8.53,Sedentary,5.0,155.4476
4632.0,88.44,100.0,5244.27,7.98,Sedentary,6.0,183.54945000000004
3558.0,74.14,95.06,9359.52,7.65,Active,4.0,374.3808
4753.0,61.35,100.0,1999.14,5.92,Highly_Active,2.0,89.9613
3047.0,63.68,97.37,1889.48,5.02,Active,2.0,75.5792
4547.0,79.62,98.89,10415.92,8.28,Sedentary,5.45,364.5572
3747.0,87.14,97.71,3437.29,5.95,Highly_Active,5.45,154.67804999999998
1975.0,79.77,100.0,671.81,8.95,Highly_Active,2.0,30.231449999999995
1189.0,93.73,99.41,3740.52,5.38,Sedentary,3.0,130.9182
4005.0,86.03,95.91,3749.51,6.4,Sedentary,3.0,131.23285
3734.0,85.49,93.73,8589.66,7.64,Highly_Active,7.0,386.5347
4005.0,76.3,98.38,5985.9,6.94,Sedentary,8.0,209.50650000000002
1562.0,82.57,95.55,10291.39,9.34,Active,1.0,411.6556
2899.0,77.96,95.01,2676.54,6.76,Sedentary,6.0,93.67890000000001
4638.0,90.76,94.86,6851.85,6.24,Sedentary,4.0,239.81475000000003
2267.0,70.81,97.22,15182.67,8.76,Highly_Active,4.0,683.22015
3879.0,70.01,99.87,502.63,7.39,Highly_Active,10.0,22.61835
2528.0,92.67,95.08,8627.84,5.88,Highly_Active,2.0,388.2528
4202.0,68.1,100.0,8808.58,6.86,Active,4.0,352.3432
4556.0,60.83,96.92,11060.18,6.83,Sedentary,1.0,387.10630000000003
4890.0,63.78,95.87,2193.85,6.19,Highly_Active,6.0,98.72325
1646.0,86.23,100.0,3771.23,6.77,Active,5.0,150.8492
3888.0,61.68,99.63,2583.07,5.97,Sedentary,8.0,90.40745000000001
2297.0,77.31,95.86,4129.76,5.71,Active,2.0,165.1904
3435.0,91.92,100.0,13212.61,5.16,Active,1.0,528.5044
1600.0,84.55,98.06,11089.12,6.44,Active,8.0,443.56480000000005
3363.0,92.85,98.27,4115.53,5.79,Active,1.0,164.6212
4060.0,62.48,99.98,12862.3,4.55,Sedentary,6.0,450.1805
3824.0,78.18,97.92,2594.46,6.64,Highly_Active,10.0,116.7507
4417.0,82.01,97.09,547.96,6.97,Highly_Active,5.0,24.6582
3612.0,69.24,100.0,4375.8,6.05,Active,2.0,175.032
3945.0,75.26,100.0,3124.12,4.23,Active,1.0,124.9648
2363.0,89.12,98.59,8698.43,5.19,Active,2.0,347.9372
3139.0,43.74,95.37,139.12,6.02,Sedentary,3.0,4.8692
2390.0,73.16,96.82,12463.56,7.15,Sedentary,5.0,436.2246
4003.0,59.55,92.95,3772.51,3.88,Highly_Active,2.0,169.76295
2478.0,103.59,100.0,4440.62,3.03,Active,7.0,177.6248
3556.0,81.28,100.0,19406.12,7.4,Active,2.0,776.2447999999999
1775.0,76.85,96.88,3556.99,5.19,Highly_Active,1.0,160.06455
1034.0,87.21,97.61,12948.31,6.15,Sedentary,5.0,453.19085
3253.0,79.84,97.25,1897.64,5.87,Active,4.0,75.9056
4152.0,106.04,94.81,711.57,6.93,Sedentary,10.0,24.904950000000003
2955.0,88.77,94.74,7069.61,5.74,Highly_Active,7.0,318.13244999999995
4943.0,96.06,96.48,7287.85,7.23,Highly_Active,1.0,327.95325
4459.0,78.05,99.5,6568.2,9.22,Sedentary,9.0,229.88700000000003
4073.0,96.09,100.0,4086.67,7.29,Highly_Active,2.0,183.90015
4461.0,59.07,98.92,3945.07,6.18,Active,9.0,157.80280000000002
3613.0,56.23,98.58,1129.05,5.32,Highly_Active,8.0,50.807249999999996
2129.0,90.92,98.67,2125.8,5.89,Highly_Active,4.0,95.661
4843.0,86.96,98.98,4677.62,7.09,Highly_Active,8.0,210.4929
4893.0,66.12,95.6,1094.9,8.28,Highly_Active,2.0,49.270500000000006
